"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4302.57348932778,0.17511052929568,0.132262964511706,0.488322505765904,0.251380540298414,2080.00669845964,23502.2232591056,1.84830639588806,1240.51588691115,3313.57436522962,1.14219586484245,0.31038239019982,280.819063443536,10001.2665728677,161.710716456442,131.863129266004,-0.184573959255676,0.204594853776072,219.021855022079,2872.89489342501,114.537600613732,115.773264557673,0.0107882820778475,0,,,,,,,,,0
2,110178,4312,4312,4309.7995621563,0.174832771361795,0.132448363600315,0.470695824012788,0.250590751998356,1724.67378431686,9016.46157721617,1.69920219490252,1262.65293557825,3658.23881919648,1.26022519704114,0.0645629569038557,253.948403564618,8401.4152694268,144.925443892339,121.123953857789,-0.164232652288662,0.156650086476052,219.543554785971,2773.5761029957,120.815403835505,109.590827485833,-0.0929068313586461,0,,,,,,,,,0
3,110178,4326,4326,4305.99512810903,0.186766131495785,0.132522938345197,0.464458739497701,0.251683078907053,1729.7671507127,6532.55973123918,1.37862203758808,1196.83712959886,3050.81459649982,1.12196203474389,0.183982966279984,258.225992417502,3437.06540158411,124.963620134835,147.684247605615,0.181817935862171,0.17889353525556,214.943614008147,1953.68888478572,110.741277583998,115.640893309205,0.0442438071160054,0,,,,,,,,,0
