"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4316.43747832779,0.141230498438284,0.13257252740798,0.488684055587707,0.253378348789899,2116.65240652456,23498.5982554097,1.82293094529246,1240.94090963813,3319.23814402919,1.1519779272188,0.23913361898373,283.865191951699,10001.8484242197,161.710716456442,134.780472798792,-0.16653345089163,0.143661346249878,219.279594954848,2873.22020905296,114.537600613732,115.784802328915,0.0108890155590794,0,,,,,,,,,0
2,110178,4312,4312,4311.07037541448,0.154564164774324,0.132539907234464,0.470949521136445,0.251888324254971,1935.83320779167,9011.25707435221,1.67169913753564,1288.85536146394,3661.02494848887,1.27792865735401,0.0623582632216162,272.968897557932,8401.56008294765,144.925443892339,141.501961373794,-0.0236223704174995,0.110653258072248,222.409300219826,2773.8618206311,120.815403835505,112.494185479586,-0.0688754752436121,0,,,,,,,,,0
3,110178,4326,4326,4312.99591251887,0.169473825721861,0.132712860331102,0.464717927157539,0.252854345130965,1797.18427333812,6554.52975372836,1.41929310292957,1215.35525016078,3057.66679332004,1.1305325784166,0.125427336088178,262.579553683034,3437.44988087733,124.963620134835,152.013321631085,0.216460610432573,0.158713692617066,217.222451896742,1954.04198250993,110.741277583998,117.821879955389,0.0639382398854868,0,,,,,,,,,0
