"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4312.59117112873,0.176476616830712,0.132340692294232,0.488297832195764,0.251220938165132,2117.70442849854,23502.7936174034,1.85371428858809,1230.88845493203,3313.83087554989,1.14269871150434,0.337583185622433,284.309225027813,10001.3501179327,161.710716456442,135.85216561607,-0.159906228894464,0.205803711272655,218.19765324363,2872.88159205737,114.537600613732,114.969603346042,0.00377171103632925,0,,,,,,,,,0
2,110178,4312,4312,4310.67824843275,0.17790598765357,0.132389711580588,0.470666689882185,0.250369050827527,1684.90290433343,9017.50633918992,1.71598344230758,1268.32591636104,3656.87225997405,1.25581788197775,0.0817918152551593,250.352443468772,8401.43930355828,144.925443892339,117.136278646532,-0.191748008489463,0.163781306846865,220.112928407609,2773.57788798545,120.815403835505,110.244962637726,-0.0874924956768907,0,,,,,,,,,0
3,110178,4326,4326,4311.46797548049,0.192207341048921,0.132540687047474,0.464419354530815,0.251349526886045,1679.33662449013,6524.91904160375,1.35787442279029,1209.09793998025,3047.82940661998,1.11620353953074,0.20763787873406,254.301440605802,3437.01304213487,124.963620134835,143.385713768639,0.147419653927493,0.20213174873978,216.770758645397,1953.6935452977,110.741277583998,117.626957113702,0.0621780756004097,0,,,,,,,,,0
