"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4311.00956726705,0.176459612079807,0.132321074274614,0.488296745162224,0.251222087880335,2116.65236893001,23502.720759391,1.8528453850945,1238.28694880316,3313.99493270885,1.14319373897134,0.340283556039584,284.215105006042,10001.3498733775,161.710716456442,135.743992263896,-0.160575160147408,0.209050335598392,218.806267854267,2872.88356184006,114.537600613732,115.644385355703,0.00966306903620199,0,,,,,,,,,0
2,110178,4312,4312,4309.92427328077,0.178261240045017,0.132385653442735,0.470661759352158,0.250362722842758,1661.83201060442,9012.34771021171,1.69192658740233,1256.56456758473,3658.42813685116,1.26122176530901,0.0914060436451969,248.576106437571,8401.40025133264,144.925443892339,115.153164647364,-0.205431692637023,0.158442834430493,218.993750843883,2773.59080106986,120.815403835505,109.026210998769,-0.097580212973403,0,,,,,,,,,0
3,110178,4326,4326,4309.68309279185,0.191471703804578,0.132522817113814,0.4644228395208,0.251385712524091,1678.47542345828,6525.51821466723,1.35977719984478,1175.23809940161,3051.31002010473,1.12448139477224,0.207286892403496,254.257361475228,3437.01405338761,124.963620134835,143.318229269772,0.14687962076589,0.188105856856218,213.184358213704,1953.69625378109,110.741277583998,113.725583781874,0.0269484537562086,0,,,,,,,,,0
