"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4312.15636799559,0.17691359622405,0.132330801588733,0.488286378222456,0.251170854600343,2117.24468851086,23502.4563563703,1.84967826099308,1236.71275649101,3313.55640882785,1.14211334427527,0.338106610705962,284.232708232482,10001.3195545369,161.710716456442,135.782135409486,-0.160339287433308,0.207449255884508,218.764023372933,2872.87459428246,114.537600613732,115.609284147667,0.009356608905657,0,,,,,,,,,0
2,110178,4312,4312,4309.40860603193,0.177151711775263,0.1323771207723,0.470665437431862,0.250391406426362,1656.2622614454,9016.34520400018,1.71871943292397,1257.86960055256,3658.37036859331,1.26097330191951,0.0816575507714705,247.573207224904,8401.42818066664,144.925443892339,114.100085874653,-0.212698041074038,0.155720396781043,219.034003445604,2773.58953434521,120.815403835505,109.077986929958,-0.0971516589186598,0,,,,,,,,,0
3,110178,4326,4326,4308.45066576134,0.19159621565828,0.132501725360139,0.464419680181461,0.251372594695088,1679.32090509665,6525.27627361769,1.35899879856875,1192.12096456209,3049.80310309768,1.12049463783151,0.204947976349849,254.345907534253,3437.02690872535,124.963620134835,143.416814075978,0.147668528818492,0.190625180790093,214.856813417629,1953.69698965106,110.741277583998,115.545985046716,0.0433867801378161,0,,,,,,,,,0
