"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4303.02988015111,0.174276747825322,0.13220511632048,0.488301004126765,0.251263058445838,2079.48748675662,23501.3446837725,1.83727189241349,1240.01223895106,3313.57115175111,1.14218740398651,0.319529747643167,280.539861805916,10001.18431019,161.710716456442,131.690336273993,-0.185642490740771,0.206504200438783,218.895305430861,2872.87733042482,114.537600613732,115.737984925146,0.0104802641663728,0,,,,,,,,,0
2,110178,4312,4312,4313.23905302785,0.175226548329063,0.132427141005055,0.47066676209926,0.250451580967382,1730.03936949814,9012.86856769378,1.67720081515667,1262.01852627892,3657.84565385829,1.25886856158171,0.0783264467976812,254.787050927252,8401.40072425072,144.925443892339,122.122753574509,-0.157340834745135,0.156720901443821,219.510703239495,2773.56355797398,120.815403835505,109.647416483326,-0.0924384391197722,0,,,,,,,,,0
3,110178,4326,4326,4305.12125147288,0.188543547453853,0.132450009358922,0.464429513553288,0.251484591254596,1738.93583487745,6532.20347893833,1.37876834535014,1200.21961666986,3049.00792907352,1.11837016327724,0.184593185983692,259.039064385954,3437.08904358526,124.963620134835,148.660759281473,0.189632303554181,0.188298727604904,215.382488546446,1953.68518240922,110.741277583998,116.203011682342,0.0493197678182946,0,,,,,,,,,0
