"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4311.71853483878,0.17725151150444,0.132323367663527,0.488286520458063,0.251170058520413,2079.65790754958,23502.441086989,1.84966693179512,1243.71131043412,3314.02532247603,1.14324125536247,0.332934455785359,281.032921025074,10001.3065732895,161.710716456442,132.259863673082,-0.182120600469252,0.206786527392152,219.385385396998,2872.8743337056,114.537600613732,116.284385746048,0.0152507571570936,0,,,,,,,,,0
2,110178,4312,4312,4309.69741455427,0.177500978833771,0.132376186647803,0.470658883302147,0.25037014947119,1677.01661917926,9017.26613922054,1.71353904751397,1258.97460494041,3657.9735334655,1.25998758041162,0.0781683516152489,249.524392659581,8401.4302220921,144.925443892339,116.227012282651,-0.198022036979285,0.156341677441845,219.128182436621,2773.58342752046,120.815403835505,109.184020652314,-0.096274008230179,0,,,,,,,,,0
3,110178,4326,4326,4310.05359220439,0.191283659837567,0.132516884971632,0.464414202426282,0.251352087485757,1679.06437082541,6525.30836159472,1.358943736274,1167.93925006026,3048.00049717185,1.11675904177231,0.204428121131671,254.330033603284,3437.03154907569,124.963620134835,143.421735678806,0.147707913103474,0.194303125606685,212.421624768357,1953.6707536747,110.741277583998,112.952935560101,0.019971396613381,0,,,,,,,,,0
