"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4345.08549436545,0.168040871954457,0.132703857917615,0.488316291310203,0.251830677996648,2130.92601966723,23515.3613505695,2.00214627018069,1260.24858604007,3324.48111984168,1.18336759490822,0.239973175996308,283.894652929193,10001.5177255659,161.710716456442,135.426243439562,-0.162540081404932,0.172392764403204,221.219352017729,2872.91164585387,114.537600613732,118.523428820899,0.0347992989709007,0,120,57382.7988919343,117751.792002092,116088.27480098,57785.9929563292,118032.214228742,116368.69702763,9.23966160343077,0
2,110178,4312,4312,4342.01069421064,0.175628173923519,0.132717109689649,0.470656367276699,0.250394123978049,1804.57252030647,9033.76805155823,1.77522098853618,1263.87690147302,3664.10203582054,1.28742820834776,0.0664347869686017,259.467915522959,8401.67945713973,144.925443892339,127.876898508002,-0.117636661489214,0.146396447462655,219.656464698455,2773.59235926039,120.815403835505,110.04259879262,-0.0891674794842656,0,120,57545.9081599117,118128.853829363,115783.50257322,57949.1024512125,118409.246343714,116063.89508757,8.01772185203786,0
3,110178,4326,4326,4318.05300608701,0.193414339392347,0.132518704179204,0.464383276463105,0.251118722585038,2353.74101377783,6667.20607656901,1.57520119317112,1313.95177070032,3070.67238543027,1.14671258594667,0.133826555724565,305.259451258986,3438.54890465361,124.963620134835,200.125639638921,0.60147120756415,0.180925515805356,225.480522049031,1953.83092764941,110.741277583998,127.607491604714,0.152302866543348,0,120,57542.8817532133,118096.571780002,115845.052867682,57946.0760445141,118376.910757893,116125.391845572,8.07370623718163,0
