"model_id","seed","capped_pp_gini","raw_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_calibration_gap","raw_pp_calibration_gap","bad_prediction_count","policy_leakage_count"
"lightgbm_regularized_challenger",20260423,0.207529622984854,0.38601281200118,215.484572014583,1755.44060943525,-0.00564225504949285,-0.210339338731862,0,0
"lightgbm_regularized_challenger",20260431,0.209126456027208,0.387782376781854,215.202032266294,1755.41205663227,-0.00842633828311329,-0.188826285268544,0,0
"lightgbm_regularized_challenger",20260439,0.211482082714733,0.381598816343058,217.135496582122,1755.34885525278,0.0104271665675851,-0.170707998308962,0,0
"lightgbm_regularized_challenger",20260447,0.206596394947179,0.388022237152589,216.462881223048,1755.47333909737,0.00376016411646743,-0.168817852624267,0,0
"lightgbm_regularized_challenger",20260455,0.206174021406477,0.38925602289157,214.209467098092,1755.39357690586,-0.0180825778107553,-0.223655649207522,0,0
"lightgbm_best_191",20260423,0.206527337424093,0.387902668948042,215.047228820191,1755.53227438595,-0.00991270838525616,-0.238778087597932,0,0
"lightgbm_best_191",20260431,0.204286659597329,0.37252316986568,214.00176345621,1755.45078107471,-0.0197202232635305,-0.221985933881379,0,0
"lightgbm_best_191",20260439,0.206692046212928,0.372420252654349,216.90213646026,1755.43627434097,0.00876754195358048,-0.199519720458105,0,0
"lightgbm_best_191",20260447,0.208371380546529,0.388348693614983,215.547426023538,1755.49740994625,-0.00472075048571181,-0.15587014747536,0,0
"lightgbm_best_191",20260455,0.201290510201579,0.365409737912809,214.141271177263,1755.47333170168,-0.0185670212420229,-0.247568474756374,0,0
