"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4303.99515993935,0.17575814519177,0.132248656367657,0.488303627078622,0.251280826714079,2112.86526509819,23501.5696425394,1.83897016118341,1243.33368314218,3314.1447618869,1.14352699855976,0.33811715611892,283.621881489155,10001.2182739649,161.710716456442,135.062133314724,-0.164791695477371,0.205388199318504,219.180794169809,2872.87080306144,114.537600613732,116.009899995875,0.012854288672487,0,,,,,,,,,0
2,110178,4312,4312,4311.41643641775,0.174002332958898,0.132443590223262,0.470688964153999,0.250554315824591,1743.34959063493,9013.39059957867,1.67726040203439,1264.42324387651,3657.64639304432,1.25823071502992,0.0804248800756344,256.006011091003,8401.41183960907,144.925443892339,123.424840630499,-0.148356304347859,0.159323041757261,219.679553612377,2773.57428632869,120.815403835505,109.751098653073,-0.0915802524444394,0,,,,,,,,,0
3,110178,4326,4326,4307.49059223071,0.185681868957337,0.132515807683823,0.464449391996731,0.251629892836334,1742.94652448441,6532.85291479019,1.38049416710182,1196.69938145841,3051.95111574491,1.12446456143145,0.186301386525241,259.545537669388,3437.08109450779,124.963620134835,149.154626804791,0.193584393952854,0.180040275436387,214.791941107686,1953.68649417093,110.741277583998,115.549971840428,0.0434227811105224,0,,,,,,,,,0
