"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4302.92439118976,0.176042215693559,0.132237679592333,0.488309219381973,0.251294471273009,2111.99804557589,23502.7716388117,1.85345891077472,1241.51779272503,3313.83319878339,1.14280690315151,0.339871382694201,283.538245268767,10001.2806587038,161.710716456442,134.952742559179,-0.165468155009194,0.207574994004276,219.028028415884,2872.88851467859,114.537600613732,115.832698163202,0.0113071824669805,0,,,,,,,,,0
2,110178,4312,4312,4310.17276586943,0.176129521010184,0.132421329345454,0.470677162047198,0.25048698492403,1697.94563443582,9015.27557113414,1.6957974492179,1258.63906911918,3658.35832070388,1.26051481334059,0.0760755115653517,251.684639730332,8401.40510495946,144.925443892339,118.666304664113,-0.181190676550442,0.157550278274145,219.071433879163,2773.57170949981,120.815403835505,109.100020299096,-0.0969692867340008,0,,,,,,,,,0
3,110178,4326,4326,4305.37379303364,0.187698138711786,0.132481397902923,0.464444089586788,0.251578290672345,1754.74183291646,6533.39410879938,1.38235333921487,1192.20641779683,3048.36876989966,1.117879686249,0.186361998414289,260.437479358429,3437.08913010739,124.963620134835,150.143395694161,0.201496847899873,0.187230812060182,214.683543801377,1953.67578868951,110.741277583998,115.382497868613,0.0419104816728753,0,,,,,,,,,0
