"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4310.5936260431,0.176263904690388,0.132315889058745,0.48829763357946,0.251227968336512,2115.93476938784,23502.7946656451,1.85372400312419,1232.50828803967,3313.63133369824,1.14227193796969,0.336182612852323,284.144366289987,10001.3604481004,161.710716456442,135.657946065665,-0.161107259689833,0.209357788543413,218.290743249989,2872.8812457217,114.537600613732,115.077324949309,0.0047122022173061,0,,,,,,,,,0
2,110178,4312,4312,4309.74820885398,0.178511977955295,0.13237928955219,0.470660332538488,0.250351620908046,1664.54353736687,9012.08130415943,1.68955158913164,1262.72387496398,3657.56495969593,1.25806988158527,0.0921273035319785,248.803363479989,8401.39632187666,144.925443892339,115.406853765572,-0.203681212449456,0.162056125288792,219.531672263311,2773.57827722158,120.815403835505,109.599103095656,-0.092838333389349,0,,,,,,,,,0
3,110178,4326,4326,4309.90788115984,0.191840846868757,0.132523970366418,0.464418363654243,0.25136325471201,1678.37615616366,6525.45706180326,1.35955688815522,1179.42963086973,3050.47014739116,1.12236354511368,0.208059868921775,254.261162858076,3437.01029732519,124.963620134835,143.321290174694,0.146904115134079,0.191654241973863,213.626270708182,1953.68495066034,110.741277583998,114.215641851817,0.0313737058449912,0,,,,,,,,,0
