"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4311.80637923183,0.177248244313217,0.132376579627358,0.488322801419031,0.251313959555493,2076.98517723076,23503.3656285763,1.86143513651531,1243.77465277278,3314.29039269002,1.1438674170105,0.334345394188947,280.756942948656,10001.4392378746,161.710716456442,131.868172873027,-0.184542770184638,0.208497010299518,219.470762712964,2872.91139291258,114.537600613732,116.2946853832,0.0153406807899986,0,,,,,,,,,0
2,110178,4312,4312,4313.73293973087,0.178233583025243,0.132504147882913,0.470697099609717,0.2504953636433,1709.43609423735,9006.93335309344,1.64879442185983,1267.58338461732,3657.34983689825,1.25729162966087,0.0941339243446364,253.306955259468,8401.37623122346,144.925443892339,120.200906718814,-0.170601769499441,0.160246664653413,220.206119332177,2773.61320174678,120.815403835505,110.221483168111,-0.0876868373656944,0,,,,,,,,,0
3,110178,4326,4326,4312.09005728925,0.191780708401309,0.132617063152907,0.464461542747646,0.251564032057558,1676.44012837062,6525.96307771038,1.36035007600481,1203.79995659522,3048.81559742028,1.11825913951129,0.204604951636521,254.16367188562,3437.03619032462,124.963620134835,143.090523297644,0.145057442664123,0.197747781860244,216.335550483905,1953.74208558957,110.741277583998,117.040613384211,0.0568833585600875,0,,,,,,,,,0
