"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4303.45499533262,0.174601929980828,0.132193404235757,0.488300315595021,0.251249136439729,2075.3775335627,23501.6025268962,1.84044426349974,1239.07041028945,3313.6870504874,1.14246981265942,0.321379497436825,280.162613498828,10001.201914182,161.710716456442,131.294614913656,-0.188089584965621,0.205404785419447,218.801887714308,2872.88589427171,114.537600613732,115.663176968245,0.00982713404577639,0,,,,,,,,,0
2,110178,4312,4312,4312.95592517198,0.175391381032292,0.13240448225902,0.470657994332932,0.250416515988283,1720.67439360831,9012.17797243819,1.67363576108075,1255.03227377245,3659.21000693856,1.2632657842894,0.0815179878129209,254.154089126688,8401.39127680123,144.925443892339,121.458424299045,-0.161924772924806,0.153968937639741,218.749567066423,2773.55558320868,120.815403835505,108.81864267969,-0.0992982746815125,0,,,,,,,,,0
3,110178,4326,4326,4304.16922951452,0.187579208093837,0.132419735106563,0.464424480692917,0.251474284882829,1746.93675913401,6532.72270202979,1.38051346833322,1188.97265253228,3052.25204259974,1.12542762028888,0.187546942696769,259.688652800856,3437.08698353986,124.963620134835,149.389367474371,0.195462866017973,0.181536154944959,213.921464444725,1953.68505399041,110.741277583998,114.676565449356,0.0355358720001515,0,,,,,,,,,0
