"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4311.78618942001,0.17587754783386,0.132329625061842,0.488297366098495,0.251237293909244,2117.43198112568,23502.2546187302,1.84730485207814,1233.8480055872,3313.16089570541,1.14111750239712,0.337222925605085,284.299816433638,10001.3392213646,161.710716456442,135.83835697765,-0.159991619885998,0.209057214662141,218.454652014814,2872.87496365057,114.537600613732,115.264732708996,0.00634841389524686,0,,,,,,,,,0
2,110178,4312,4312,4310.08060266321,0.178128321814215,0.13238162269931,0.470661742768443,0.250352167735064,1660.20539823295,9013.17377610725,1.69525117344264,1256.64137672912,3657.789466773,1.25941590119214,0.0891618569591377,248.463010676287,8401.40692617371,144.925443892339,115.040716251652,-0.206207597769289,0.159944332968153,218.96668871276,2773.58232187866,120.815403835505,109.00569634669,-0.0977500145999138,0,,,,,,,,,0
3,110178,4326,4326,4310.81870877656,0.192071123437392,0.132526989528503,0.464411220056816,0.251326016752146,1676.44575122497,6525.31304865376,1.35892468348911,1200.95922486022,3048.57834070658,1.11784714301619,0.204384909656166,254.161659018375,3437.02052289899,124.963620134835,143.233697137779,0.146203166835524,0.199760502593534,215.880756903587,1953.68712546839,110.741277583998,116.670969410653,0.0535454525721668,0,,,,,,,,,0
