"model_id","seed","component","Feature","Gain","Cover","Frequency","rank"
"v2_lgb_stronger_l2",20260439,"severity","DriverAge",0.402350869803691,0.300208875358743,0.230769230769231,1
"v2_lgb_stronger_l2",20260439,"severity","logDensity",0.200555476856473,0.260191474666738,0.271978021978022,2
"v2_lgb_stronger_l2",20260439,"severity","Power",0.138281680682026,0.155269325161602,0.17032967032967,3
"v2_lgb_stronger_l2",20260439,"severity","Region",0.0998741233478308,0.136402650001341,0.107142857142857,4
"v2_lgb_stronger_l2",20260439,"severity","CarAge",0.0854335372825252,0.0765135919856235,0.115384615384615,5
"v2_lgb_stronger_l2",20260439,"severity","Brand",0.0589801631441893,0.0625310127940348,0.0824175824175824,6
"v2_lgb_stronger_l2",20260439,"severity","Gas",0.0145241488832643,0.00888307003191803,0.021978021978022,7
"v2_lgb_stronger_l2",20260439,"capped_severity","DriverAge",0.242687520466449,0.296023912764742,0.225925925925926,1
"v2_lgb_stronger_l2",20260439,"capped_severity","Power",0.222405834748413,0.179193476005642,0.214814814814815,2
"v2_lgb_stronger_l2",20260439,"capped_severity","logDensity",0.183292678624593,0.204555256378874,0.207407407407407,3
"v2_lgb_stronger_l2",20260439,"capped_severity","Region",0.123009979173951,0.100311367159725,0.122222222222222,4
"v2_lgb_stronger_l2",20260439,"capped_severity","CarAge",0.121052259068684,0.12861707521768,0.122222222222222,5
"v2_lgb_stronger_l2",20260439,"capped_severity","Brand",0.104079556430552,0.0900072560058747,0.103703703703704,6
"v2_lgb_stronger_l2",20260439,"capped_severity","Gas",0.00347217148735695,0.00129165646746162,0.0037037037037037,7
