"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4303.37634801156,0.175288835756489,0.132251753013942,0.488314221954147,0.251325444599448,2081.56775096674,23502.1000167291,1.84683225390171,1240.51715827194,3313.57040953634,1.14218695476222,0.317011289097776,280.911270340072,10001.2319712798,161.710716456442,132.007899889265,-0.183678714794253,0.205755489404158,219.005700656547,2872.89185477222,114.537600613732,115.794562161154,0.0109742262862736,0,,,,,,,,,0
2,110178,4312,4312,4311.86369028503,0.175184417934563,0.132454848366079,0.470682883856957,0.250525841829157,1730.52997710339,9012.64872649275,1.67574923652017,1253.9783530025,3659.86493816761,1.26644328947293,0.0732790029856736,255.010264985802,8401.39813405594,144.925443892339,122.288058346996,-0.156200215347691,0.150764056362752,218.664943988298,2773.58061092703,120.815403835505,108.666671137394,-0.100556156851092,0,,,,,,,,,0
3,110178,4326,4326,4306.03840043044,0.187393800312631,0.132500238249027,0.464446554852024,0.251600797789472,1723.98120826835,6532.16922345539,1.37724654352128,1196.48078289694,3050.72649430445,1.12183804218044,0.185370263389756,257.656982111348,3437.06811059361,124.963620134835,147.117565417995,0.177283158564521,0.181177372409675,214.891109518625,1953.68568844737,110.741277583998,115.626781181216,0.0441163738021014,0,,,,,,,,,0
