"model_id","seed","component","Feature","Gain","Cover","Frequency","rank"
"lightgbm_best_191",20260423,"frequency","DriverAge",0.345559044316569,0.251584896666904,0.194990366088632,1
"lightgbm_best_191",20260423,"frequency","logDensity",0.264439625920786,0.227752628304543,0.206936416184971,2
"lightgbm_best_191",20260423,"frequency","Power",0.0964915019660881,0.122584930183917,0.157996146435453,3
"lightgbm_best_191",20260423,"frequency","CarAge",0.0924910644487862,0.136941035649524,0.148362235067437,4
"lightgbm_best_191",20260423,"frequency","Region",0.0845768971158901,0.107769692535572,0.130635838150289,5
"lightgbm_best_191",20260423,"frequency","Brand",0.069505730991831,0.0928816408126414,0.105202312138728,6
"lightgbm_best_191",20260423,"frequency","Gas",0.0469361352400497,0.0604851758468989,0.0558766859344894,7
"lightgbm_best_191",20260423,"severity","DriverAge",0.298093302627723,0.271620785006984,0.243076923076923,1
"lightgbm_best_191",20260423,"severity","logDensity",0.267460568956204,0.236974501319442,0.238461538461538,2
"lightgbm_best_191",20260423,"severity","CarAge",0.15400691192459,0.160409378924854,0.192307692307692,3
"lightgbm_best_191",20260423,"severity","Power",0.107173460419827,0.132000755282537,0.126153846153846,4
"lightgbm_best_191",20260423,"severity","Region",0.0752336929031145,0.0782796400697123,0.0723076923076923,5
"lightgbm_best_191",20260423,"severity","Brand",0.072981723368793,0.0988702999616438,0.0938461538461538,6
"lightgbm_best_191",20260423,"severity","Gas",0.025050339799749,0.0218446394348276,0.0338461538461538,7
"lightgbm_best_191",20260423,"capped_severity","DriverAge",0.212863953061834,0.246261414499348,0.242857142857143,1
"lightgbm_best_191",20260423,"capped_severity","logDensity",0.201885229644794,0.178120104107423,0.180952380952381,2
"lightgbm_best_191",20260423,"capped_severity","Power",0.179166588061511,0.151713734187787,0.154761904761905,3
"lightgbm_best_191",20260423,"capped_severity","CarAge",0.157707374834429,0.148442934374689,0.157142857142857,4
"lightgbm_best_191",20260423,"capped_severity","Region",0.108640498700556,0.118222393244435,0.104761904761905,5
"lightgbm_best_191",20260423,"capped_severity","Brand",0.103496988081006,0.116194793360298,0.104761904761905,6
"lightgbm_best_191",20260423,"capped_severity","Gas",0.0362393676158691,0.0410446262260214,0.0547619047619048,7
"lightgbm_best_191",20260431,"frequency","DriverAge",0.351781367226692,0.255119530753041,0.205714285714286,1
"lightgbm_best_191",20260431,"frequency","logDensity",0.263139030585432,0.219969359304769,0.210666666666667,2
"lightgbm_best_191",20260431,"frequency","Power",0.0873688954171994,0.107150423993582,0.13752380952381,3
"lightgbm_best_191",20260431,"frequency","Region",0.0865799482833767,0.110687742812286,0.13752380952381,4
"lightgbm_best_191",20260431,"frequency","CarAge",0.0865217904560068,0.134807741096478,0.145142857142857,5
"lightgbm_best_191",20260431,"frequency","Brand",0.0760641679876477,0.098871561525181,0.11047619047619,6
"lightgbm_best_191",20260431,"frequency","Gas",0.0485448000436457,0.0733936405146632,0.052952380952381,7
"lightgbm_best_191",20260431,"severity","logDensity",0.330542169777475,0.310134272014653,0.326647564469914,1
"lightgbm_best_191",20260431,"severity","CarAge",0.187959443547482,0.1687310891357,0.186246418338109,2
"lightgbm_best_191",20260431,"severity","Power",0.135730089162458,0.118352416558047,0.0888252148997135,3
