"model_id","seed","component","Feature","Gain","Cover","Frequency","rank"
"v2_lgb_higher_leaf_floor",20260439,"frequency","Brand",0.0600326678096743,0.0836350896883709,0.107777777777778,6
"v2_lgb_higher_leaf_floor",20260439,"frequency","Gas",0.0488213010657834,0.090910581874069,0.0522222222222222,7
"v2_lgb_higher_leaf_floor",20260439,"severity","DriverAge",0.404471703150593,0.300845035823951,0.233516483516484,1
"v2_lgb_higher_leaf_floor",20260439,"severity","logDensity",0.183736236654707,0.243177891504606,0.247252747252747,2
"v2_lgb_higher_leaf_floor",20260439,"severity","Power",0.143861107586466,0.159507881269191,0.17032967032967,3
"v2_lgb_higher_leaf_floor",20260439,"severity","Region",0.0971257459882544,0.12830460593654,0.104395604395604,4
"v2_lgb_higher_leaf_floor",20260439,"severity","CarAge",0.0864270304888148,0.0810374616171955,0.120879120879121,5
"v2_lgb_higher_leaf_floor",20260439,"severity","Brand",0.0645322913157883,0.0756053224155578,0.0961538461538462,6
"v2_lgb_higher_leaf_floor",20260439,"severity","Gas",0.0198458848153762,0.011521801432958,0.0274725274725275,7
"v2_lgb_higher_leaf_floor",20260439,"capped_severity","DriverAge",0.242519438204526,0.286391865281903,0.232142857142857,1
"v2_lgb_higher_leaf_floor",20260439,"capped_severity","logDensity",0.190344186660979,0.18301315613276,0.200892857142857,2
"v2_lgb_higher_leaf_floor",20260439,"capped_severity","Power",0.187472131573267,0.169618180181723,0.178571428571429,3
"v2_lgb_higher_leaf_floor",20260439,"capped_severity","Region",0.147575315051912,0.120165785273825,0.147321428571429,4
"v2_lgb_higher_leaf_floor",20260439,"capped_severity","CarAge",0.110894657540307,0.124544869810704,0.113095238095238,5
"v2_lgb_higher_leaf_floor",20260439,"capped_severity","Brand",0.10157551261249,0.105649475664557,0.107142857142857,6
"v2_lgb_higher_leaf_floor",20260439,"capped_severity","Gas",0.0196187583565195,0.0106166676545291,0.0208333333333333,7
