"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4305.91914851672,0.175588537675453,0.132241571079106,0.488286739490737,0.251200593700034,2092.80703414211,23502.4097245203,1.84896840774997,1240.68822376097,3313.72737353504,1.14253649940126,0.338525853137964,281.866925229022,10001.2400169659,161.710716456442,133.177595285051,-0.176445456409044,0.208802404750223,218.936880424711,2872.86115532585,114.537600613732,115.795657954816,0.0109837933948588,0,,,,,,,,,0
2,110178,4312,4312,4314.1860133114,0.176293608525563,0.132438969199465,0.470658693414623,0.250409767642334,1732.92268387646,9012.33432086891,1.67430416450465,1255.20136131446,3660.09529078257,1.26680567202481,0.0748546393872656,255.244915884811,8401.3946231325,144.925443892339,122.645787787271,-0.153731846573601,0.149223310404005,218.772341481719,2773.57634639461,120.815403835505,108.851880861352,-0.0990231592524572,0,,,,,,,,,0
3,110178,4326,4326,4301.20394843861,0.18846183898866,0.132389779448697,0.464421268446097,0.251444653098676,1768.13080675547,6534.49330260648,1.3859122517877,1196.69030864057,3048.03213905676,1.11633114560454,0.189461448370399,261.442340949504,3437.08168274431,124.963620134835,151.278710241982,0.210582008417757,0.193356391931107,215.030500431405,1953.65831631003,110.741277583998,115.820321996535,0.0458640583109104,0,,,,,,,,,0
