"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4311.83130627888,0.176519824059003,0.132331609332644,0.488295240804203,0.251213247913675,2116.60921386396,23502.136582921,1.84588334140592,1231.39932786256,3313.93577539426,1.14295132438542,0.338892996178187,284.264078798501,10001.3340541143,161.710716456442,135.797467895598,-0.160244473147351,0.207188840310349,218.226773714738,2872.88048213316,114.537600613732,114.997055991527,0.00401139342305936,0,,,,,,,,,0
2,110178,4312,4312,4308.62312786691,0.17786850933532,0.132366711670302,0.47066781885926,0.250385284745073,1689.3976549527,9009.59870399523,1.66783602890589,1257.99895172523,3657.68283770732,1.25902537789902,0.0927942519228264,251.300473009363,8401.38882258797,144.925443892339,118.1507594634,-0.184747989792799,0.156476959463289,219.024718445732,2773.59625003789,120.815403835505,109.066028326374,-0.0972506413596761,0,,,,,,,,,0
3,110178,4326,4326,4310.73414820507,0.192013601522995,0.132533768571181,0.464419386974643,0.251358088546458,1681.7159632874,6525.11375961872,1.35879638606554,1202.4259721839,3048.49950718522,1.11764026911947,0.205425188810935,254.500407093912,3437.02350630446,124.963620134835,143.592874499438,0.149077422248996,0.197835707881023,216.069952745562,1953.69920591128,110.741277583998,116.86272362449,0.055277003968544,0,,,,,,,,,0
