"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4311.85720681143,0.175247786796751,0.132334713605548,0.488298518409126,0.251247400103103,2117.83561837286,23502.6369564133,1.85179984422043,1230.85536987563,3313.79199587662,1.14262833797825,0.338453586500996,284.310618475848,10001.366551769,161.710716456442,135.846761258649,-0.15993964880342,0.204630754389846,218.19953369656,2872.88659480394,114.537600613732,114.961689777665,0.0037026195909497,0,,,,,,,,,0
2,110178,4312,4312,4309.29677859121,0.177655248804239,0.132376424975565,0.470666325274787,0.250383908083089,1660.30430250306,9012.7893785034,1.69478047780205,1255.91976862776,3657.99161521931,1.25994103407064,0.088068293102064,248.467088325738,8401.40968438996,144.925443892339,115.019690802407,-0.206352675463584,0.156257177866771,218.880870775668,2773.59315894014,120.815403835505,108.8984689785,-0.0986375452026878,0,,,,,,,,,0
3,110178,4326,4326,4310.21193630942,0.192480509443891,0.132524281011477,0.46441517970396,0.251341520814561,1676.82828600576,6525.33917095452,1.35882128940598,1175.28468161834,3050.60525527968,1.12279717061813,0.206012910416343,254.225332070935,3437.01833422152,124.963620134835,143.296573693126,0.146706325717119,0.189421558984398,213.215078269635,1953.68924867754,110.741277583998,113.776817899204,0.0274111007334479,0,,,,,,,,,0
