"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4311.27781412008,0.175477868767564,0.132379704632688,0.488331096663825,0.251369278736645,2094.56466726689,23502.7244815623,1.85354943179416,1229.72685226948,3314.1664746746,1.14354513684536,0.327002075380164,282.325221239711,10001.4133522479,161.710716456442,133.5853684336,-0.173923835347162,0.202499234980585,218.160126283098,2872.90679036348,114.537600613732,114.831181256059,0.00256318135489151,0,,,,,,,,,0
2,110178,4312,4312,4308.94184172335,0.177410003918931,0.132440695541001,0.470703586637208,0.25053710739514,1666.85720884131,9009.12422593148,1.66803900785443,1248.18273224778,3659.05312257326,1.263023854562,0.105905972400389,249.021463518,8401.38191201274,144.925443892339,115.494103362129,-0.203079181541603,0.159346498380922,218.091879460481,2773.61611561696,120.815403835505,107.921286705089,-0.106725771061214,0,,,,,,,,,0
3,110178,4326,4326,4308.98877252239,0.191537078086788,0.132573777316839,0.464463566594424,0.251577801686633,1683.02988386412,6526.17242543882,1.36169908951178,1189.70283478958,3049.11232968321,1.11897527277975,0.20805721692131,254.740400865337,3437.03649977275,124.963620134835,143.704233639382,0.14996855472278,0.193490781359905,214.671241666843,1953.70848521205,110.741277583998,115.260414170629,0.0408080589751488,0,,,,,,,,,0
