"fold","policies","claim_rows","observed_claims","predicted_claims","frequency_gini","frequency_mae","frequency_rmse","frequency_poisson_deviance","raw_severity_mae","raw_severity_rmse","raw_severity_gamma_deviance","capped_severity_mae","capped_severity_rmse","capped_severity_gamma_deviance","raw_pp_gini","raw_pp_mae","raw_pp_rmse","raw_pp_observed_loss_cost","raw_pp_predicted_loss_cost","raw_pp_calibration_gap","capped_pp_gini","capped_pp_mae","capped_pp_rmse","capped_pp_observed_loss_cost","capped_pp_predicted_loss_cost","capped_pp_calibration_gap","bad_prediction_count","parameter_count","frequency_aic","severity_aic","capped_severity_aic","frequency_bic","severity_bic","capped_severity_bic","max_abs_coefficient","policy_leakage_count"
1,110179,4303,4303,4311.76510680337,0.176824722459874,0.132334949119902,0.488298688599272,0.251221025182331,2117.38155707109,23502.1116605478,1.84554099133285,1226.79045748008,3313.13643080788,1.14107337095989,0.338029176921293,284.319133517761,10001.3445746199,161.710716456442,135.850973215984,-0.159913602555979,0.208616739954159,217.809418563738,2872.87227150241,114.537600613732,114.546915674714,8.13275372645355e-05,0,,,,,,,,,0
2,110178,4312,4312,4308.72437324897,0.178528996663421,0.13237002391844,0.470669172319849,0.250369649795516,1688.77516556832,9009.17497712285,1.6652734745016,1268.32846297547,3656.89736070226,1.25586675662812,0.0944995569740461,251.19433275866,8401.38406151355,144.925443892339,118.029819493233,-0.185582487634721,0.161723198932441,220.081483276045,2773.5844127549,120.815403835505,110.196554435963,-0.0878931747312682,0,,,,,,,,,0
3,110178,4326,4326,4310.59667124835,0.191913649792889,0.132537641480096,0.464426766700899,0.251386731087428,1679.97979312724,6525.36224328278,1.35915553966617,1204.64913764382,3047.69570938614,1.11587229367998,0.203821564990939,254.336996029928,3437.02630179265,124.963620134835,143.407137874076,0.147591096667499,0.199621197315596,216.394546531226,1953.70674634347,110.741277583998,117.196887010821,0.0582945182470591,0,,,,,,,,,0
